cell_id,model_key,model_served,prompt_id,lang,gen,fk_tier,stance,n_tokens,n_sentences,mattr,hapax_rate,mean_token_len,zipf_slope,sent_len_mean,sent_len_sd,burstiness,dep_depth,subord_rate,func_word_ratio,first_person_rate,para_count,para_len_mean,question_rate,connective_rate,comma_per_1k,colon_per_1k,dash_per_1k,semicolon_per_1k,bigram_entropy,digit_rate
gpt|P01|en|0,gpt,openai/gpt-5.5,P01,en,0,general,for,334,16,-1.2458584405238404,-1.0975507657057124,0.8625253076645094,-0.6974704803399195,-0.9239077431615652,-0.4871623166213719,1.3083034896101928,1.765716188785371,0.28190058018627795,-1.5411418533287702,-1.7742425458924491,-0.10946948493341369,-7.733484311413123,1.7400838626106538,-3.466785765310583,-2.998105806043248,-0.8619659461184876,-0.15301553919769273,0.6141473250422645,2.920954284198401,-3.3393461855391884
gpt|P01|en|1,gpt,openai/gpt-5.5,P01,en,1,general,for,392,19,0.6022447370633528,-3.2637248804587538,1.903971732221999,-0.047809848354296136,-3.3883790935640925,-1.5839877941514504,2.3376024669248987,2.164080377958876,-3.405704900601273,-2.0468442780518625,0.520677269713836,-3.0586370453577074,-7.5834335786625,2.9770182767824203,-2.268995423495521,-1.2468646936245489,-1.8640312778744084,-0.18209254596883429,2.538837135417775,2.6768449292012275,-2.228800341079786
gpt|P02|en|0,gpt,openai/gpt-5.5,P02,en,0,educated,for,419,20,-1.5790641589731091,-1.3713014537876274,2.088097429181655,-0.030934492549642312,-0.5178726832766785,0.2464498173154095,1.9380271129938706,4.506950851915242,-1.7002748619123158,-2.864940410579469,-2.218411279052388,1.5740864928774116,-8.782745420643565,0.6192568416024274,-1.8247466999028499,-0.6081274178080187,-1.6093624392397101,2.3480658633963074,-0.43594959595878335,1.5455959846610354,-2.06312471013396
gpt|P02|en|1,gpt,openai/gpt-5.5,P02,en,1,educated,for,439,21,-0.1546594066110743,-1.3749137013309012,4.97251170764082,0.5652606367304363,-0.8801408797753209,-0.5717265324967813,1.047118538948181,3.4848311199197175,-3.85665482180796,-2.2444417598728235,-2.4958865865894255,-0.6669345297881777,-8.000368940117017,1.5838986922486589,-2.371944166842722,-1.6603789590034534,0.06752887701332089,3.694626049830238,1.5145183941770175,2.827291547808456,-3.634147271726082
gpt|P03|en|0,gpt,openai/gpt-5.5,P03,en,0,general,against,431,21,-0.30933547891277463,-3.0126168766869696,2.2329313683351346,0.6356814493209684,-2.336933421354363,1.3430502604117223,1.7647769793010948,2.545671475066607,-3.4568048537829603,-2.0969226867910007,-2.348274881841593,1.1416650849432695,-8.773086699243102,-0.6501827099178316,-1.4259104209947686,-1.6139491815498757,-1.3913179384238612,2.86937227835406,1.9710288176404804,2.1784717608394137,-2.5700903304559164
gpt|P03|en|1,gpt,openai/gpt-5.5,P03,en,1,general,against,459,22,-0.3214264954952714,-3.3769044854861012,3.7087227595319217,1.409399944520346,0.36593610365443263,-0.9677605307498645,1.7259444403016597,0.647561480725229,-1.624459424621199,-4.866726700819361,-0.506371839083753,0.2634828336694329,-6.668345438777889,0.4590710467421661,-4.072328667290794,-2.5051773096058905,-2.9850281082586205,2.191750363536528,2.582378872858115,4.116896789770798,0.024366137252289644
gpt|P04|en|0,gpt,openai/gpt-5.5,P04,en,0,expert,for,498,24,0.14733887103337923,1.5620516707004886,2.4179947374554973,-0.07493940320013853,-0.876097590426104,-1.9727177419961042,1.4402874230572897,2.419372073234645,-3.3859790671984564,-4.045902809140203,-3.5243298583140183,-0.963842839804707,-6.320148267438752,-0.5820951609618306,-2.5914111573287535,-3.4692734663169045,-0.04144519675498426,-0.24265909023319399,2.4767641416851873,2.42800201617475,-0.3955700978283103
gpt|P04|en|1,gpt,openai/gpt-5.5,P04,en,1,expert,for,483,24,0.4478383533772489,-1.609396519035871,4.162162645672069,1.1012407534898319,-2.161777511308167,1.0657471135192655,0.3627009207736088,1.353741813369444,-4.785587431662118,-2.971710606381694,-1.9687979386928613,-0.5518064179343874,-6.370598817113857,0.26379904364263784,-1.4847226490070442,-2.1122706924401404,-3.123104949147691,1.0781192640281767,0.42555281970207925,1.4166771004199095,-2.408283022779308
gpt|P05|en|0,gpt,openai/gpt-5.5,P05,en,0,educated,against,474,23,2.5276214380846693,-2.633709499432498,3.0384238120809792,-1.1412683118304048,-0.4237065352676572,-0.36718230187794954,1.0251259504076198,2.3075620851849057,-3.649244778061014,-1.323681871984316,-2.59325861177996,0.19488362579156981,-7.5227895934198905,-0.7495567039956645,-2.549352558942414,-2.22352023888826,-2.5817991885997733,1.1046867515177232,3.7092357449399898,5.364222482790913,-2.0496843027822305
gpt|P05|en|1,gpt,openai/gpt-5.5,P05,en,1,educated,against,485,24,0.6019368790387922,-1.2646297068876646,4.132464608936236,-0.21828634733522345,-0.7966217419290578,-1.8783364698724836,-0.4612760554541613,3.2107205171850697,-3.7203068735469595,-1.7128366928030123,-1.2978984259578037,-0.8036961690008761,-9.690953108227557,0.7877438268285571,-3.89317937393087,-0.8518621799916912,-0.8779820465519907,1.761403355827726,1.5726075558375079,3.644341486717115,-3.349855421681806
gpt|P06|en|0,gpt,openai/gpt-5.5,P06,en,0,expert,against,424,21,0.40285987440263654,-3.869675381022547,5.304667509398071,2.911966674335079,-2.4309126650327286,1.4271505687354953,1.2972517066456128,0.3536777752032312,-3.6823988866325417,-1.7359141298151006,-1.0913566677584166,-1.2310653095432869,-7.063384080721864,1.3210417940888912,-3.089246916802014,-2.4851471251669337,-1.5675361307193654,1.7639087901603994,1.900840018524774,1.5869968571080342,-2.714670639530881
gpt|P06|en|1,gpt,openai/gpt-5.5,P06,en,1,expert,against,347,17,1.043117523479846,-1.3446240337109403,4.059524041503513,1.7696428212548554,-0.740314488013675,0.8945205616432303,0.29709807232911056,2.1647933138815736,-2.618851825317889,-1.5466532581309642,-0.5450971958314754,-1.020311751018502,-8.21334374079561,2.3270506628068084,-4.232797487557423,-0.8980079595898894,-1.318110414413245,0.6429271320317642,1.8076038414060476,3.8937020349105564,-2.7604779248442166
gpt|P07|en|0,gpt,openai/gpt-5.5,P07,en,0,educated,against,317,15,-0.45993193803675564,-2.1772218086465394,1.0492716161743716,0.044622999753005765,-0.048047735242000456,-0.8493838441753983,2.5057552133857914,1.8835561007782584,-2.9002746868330282,-2.1106546370185066,0.39356066910780796,-0.5997690796008034,-8.446192385004622,0.6849815035893164,-3.237503216470137,-2.208632159034469,-2.287782821905373,0.6748975594809229,2.042950768445769,1.9922064766980108,-3.259499465598066
gpt|P07|en|1,gpt,openai/gpt-5.5,P07,en,1,educated,against,353,17,-0.04315716226329666,-1.1809420966487323,4.483000282755004,-0.5715777618370625,0.17520403633180726,0.8975512953349494,1.9210655343496617,2.3473841191353575,-3.230404294953968,-0.4588978372267749,-2.608155043539795,-1.1469740934105348,-6.0629562823610845,0.06147220450574592,-3.587252446012039,-1.5093891131816572,-0.9210334517028176,1.268600895723825,2.3847265186679087,3.1444799609402296,-0.9226510655011333
gpt|P08|en|0,gpt,openai/gpt-5.5,P08,en,0,general,for,319,15,-0.2869758213051754,-0.31655915208311025,2.9087805584433344,0.4183834924618787,-0.6480105178159177,0.5620036160747566,0.6046868608639848,1.2803307141177511,-5.42516136718281,-0.008969162202291603,-2.2671763155047655,-1.9000222488322425,-8.405059407802849,1.1161215036935834,-4.296582669109872,-1.8827848171326877,-0.7326387650730593,2.862487300550111,1.478813793629718,1.9340855590546129,-0.28099691202497845
gpt|P08|en|1,gpt,openai/gpt-5.5,P08,en,1,general,for,519,25,1.0729012791543249,-0.6780725896826083,3.011197218370451,0.4495922143546779,-1.1153092624871546,0.5406378771761146,0.3096891312801455,1.2607231807163954,-4.109026671154213,-1.8154924996562374,-1.0490835799171168,-0.07500214278203643,-8.798890462277674,0.8363800996253075,-2.1738138664687208,0.5230457961612032,-3.349213763420673,1.20158042002776,0.6127117651603773,3.515627543038683,-2.8585989294958773
gpt|P09|en|0,gpt,openai/gpt-5.5,P09,en,0,general,for,565,28,1.990811782930214,-0.9341783208404247,1.9997686503471612,-1.101465053346684,-0.8274640929973331,-2.5494966582104697,1.6835639951689783,2.77998352830385,-3.5706165516963306,-0.8825409125420839,-2.1927065854053365,-2.6358483030153543,-8.24783394580303,-0.4847345470918285,-2.5305212236706875,-0.5793247144730325,-1.571883138485343,2.5376518299381927,-0.24879548859556322,4.639144867791234,-2.786481999692354
gpt|P09|en|1,gpt,openai/gpt-5.5,P09,en,1,general,for,442,22,-0.4747179765069747,-2.36763745227038,4.162054100387177,-0.6202808436658174,-0.590907779183796,-1.4570302739501708,1.2327780450894759,4.7379623916254445,-4.265876223537766,-0.9359115331539273,-0.9592178407918694,-2.099067538219654,-9.0850020106267,-0.9914660542389357,-3.0136743137124635,-1.6042449027403096,-1.742187056128143,2.0090957841921635,0.9312793199062938,3.244028373180959,-1.9900658591007607
gpt|P10|en|0,gpt,openai/gpt-5.5,P10,en,0,educated,against,386,19,-0.22768738323004,-0.18649570160160367,3.6485591312178243,-0.39697147102504476,-2.053065915410316,0.7044736241655426,3.2898114359807957,2.530758283118153,-5.932500378551653,-1.2862162833397384,-2.613146897816681,-0.625524492811605,-7.14980188151537,2.4003474461887553,-2.0889599316433425,-1.9581526214434115,-3.4242859097145324,-2.309536991692373,1.3521823537369522,3.054746950687754,-1.1868198139110304
gpt|P10|en|1,gpt,openai/gpt-5.5,P10,en,1,educated,against,435,21,-0.9025587697669623,-2.564563856399984,4.02049036850083,1.0611546022796778,-2.351928366761219,-1.0522087545558216,0.716244031149181,1.1652775326678546,-3.655316615502933,-1.0276638837189052,-1.9332337823446895,-2.7804949582883918,-6.972166487263964,1.53517165698945,-0.07129837525127325,-2.5919061832957384,-2.998173207126448,-1.4758210136989134,-0.32908485890066497,2.70389631039918,-1.6813540193175123
gpt|P11|en|0,gpt,openai/gpt-5.5,P11,en,0,general,against,391,19,0.33107032093801086,-2.9148542460850124,0.6553370572926707,-0.39698658385503505,-1.8440973848112723,1.7313751950005367,0.1050474080381456,3.6368827897621694,-4.834298982514806,-2.423079993981453,-0.6806531954124777,-1.891925508488784,-10.062158327420102,-0.37871483510538384,-1.7513810246754296,-3.304263560320667,-3.9689677055540606,0.6351068639907093,1.0838466196784065,1.4428362162115138,-2.670034812804081
